#          r               U
     0.9926887E+00     0.8950173E-09
     0.9927149E+00     0.8949937E-09
     0.9927411E+00     0.8949701E-09
     0.9927674E+00     0.8949464E-09
     0.9927936E+00     0.8949227E-09
     0.9928199E+00     0.8948990E-09
     0.9928462E+00     0.8948753E-09
     0.9928726E+00     0.8948516E-09
     0.9928989E+00     0.8948278E-09
     0.9929253E+00     0.8948041E-09
     0.9929517E+00     0.8947803E-09
     0.9929781E+00     0.8947565E-09
     0.9930045E+00     0.8947326E-09
     0.9930310E+00     0.8947088E-09
     0.9930575E+00     0.8946849E-09
     0.9930840E+00     0.8946611E-09
     0.9931105E+00     0.8946372E-09
     0.9931370E+00     0.8946133E-09
     0.9931636E+00     0.8945893E-09
     0.9931902E+00     0.8945654E-09
     0.9932168E+00     0.8945414E-09
     0.9932434E+00     0.8945175E-09
     0.9932700E+00     0.8944935E-09
     0.9932967E+00     0.8944695E-09
     0.9933234E+00     0.8944454E-09
     0.9933501E+00     0.8944214E-09
     0.9933768E+00     0.8943973E-09
     0.9934035E+00     0.8943733E-09
     0.9934303E+00     0.8943492E-09
     0.9934571E+00     0.8943251E-09
     0.9934839E+00     0.8943010E-09
     0.9935107E+00     0.8942768E-09
     0.9935375E+00     0.8942527E-09
     0.9935644E+00     0.8942285E-09
     0.9935913E+00     0.8942043E-09
     0.9936181E+00     0.8941801E-09
     0.9936451E+00     0.8941559E-09
     0.9936720E+00     0.8941316E-09
     0.9936989E+00     0.8941074E-09
     0.9937259E+00     0.8940831E-09
     0.9937529E+00     0.8940589E-09
     0.9937799E+00     0.8940346E-09
     0.9938069E+00     0.8940102E-09
     0.9938340E+00     0.8939859E-09
     0.9938610E+00     0.8939616E-09
     0.9938881E+00     0.8939372E-09
     0.9939152E+00     0.8939129E-09
     0.9939423E+00     0.8938885E-09
     0.9939694E+00     0.8938641E-09
     0.9939966E+00     0.8938397E-09
     0.9940238E+00     0.8938152E-09
     0.9940509E+00     0.8937908E-09
     0.9940781E+00     0.8937663E-09
     0.9941054E+00     0.8937419E-09
     0.9941326E+00     0.8937174E-09
     0.9941599E+00     0.8936929E-09
     0.9941871E+00     0.8936684E-09
     0.9942144E+00     0.8936438E-09
     0.9942417E+00     0.8936193E-09
     0.9942690E+00     0.8935947E-09
     0.9942964E+00     0.8935702E-09
     0.9943237E+00     0.8935456E-09
     0.9943511E+00     0.8935210E-09
     0.9943785E+00     0.8934964E-09
     0.9944059E+00     0.8934717E-09
     0.9944333E+00     0.8934471E-09
     0.9944608E+00     0.8934225E-09
     0.9944882E+00     0.8933978E-09
     0.9945157E+00     0.8933731E-09
     0.9945432E+00     0.8933484E-09
     0.9945707E+00     0.8933237E-09
     0.9945982E+00     0.8932990E-09
